Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
81,"J Mitchell, KR Ford, S Minning, GD Myer…",Medial foot loading on ankle and knee biomechanics,22,2008, ncbi.nlm.nih.gov, … American journal of …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2850544/,1
97, Ab,Patellar mechanics during simulated kneeling in the natural and implanted knee,22,2014, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929014000232,2
14," Tennant, HC Chong, SM Acker",The effects of a simulated occupational kneeling exposure on squat mechanics and knee joint load during gait,21,2018, Taylor & Francis, Ergonomics,https://www.tandfonline.com/doi/abs/10.1080/00140139.2017.1411529,3
11,"Ollivier, J Falguières, M Pithioux…",Sectioning of the anterior intermeniscal ligament changes knee loading mechanics,19,2018, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806318302251,3
34,"Kitagawa, J Hasegawa, T Yasuki, M Iwamoto, K Miki",A study of knee joint kinematics and mechanics using a human FE model,19,2005, sae.org,,https://www.sae.org/publications/technical-papers/content/2005-22-0006/,1
29,"Zhang, Z Chen, L Wang, D Li…",Load application for the contact mechanics analysis and wear prediction of total knee replacement,14,2017, journals.sagepub.com, … Institution of Mechanical …,https://journals.sagepub.com/doi/abs/10.1177/0954411917693880,2
27," Ali, EM Mannen…",Validated computational framework for evaluation of in vivo knee mechanics,13,2020, asmedigitalcollection.asme.org, Journal of …,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/142/8/081003/1072424,3
93," Morgan, HJ Hillstrom, A Ranawat…",Effects of a medial knee unloading implant on tibiofemoral joint mechanics during walking,11,2019, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24379,2
83," Farshidfar, J Cadman, D Deng, R Appleyard…",The effect of modelling parameters in the development and validation of knee joint models on ligament mechanics: a systematic review,10,2022, journals.plos.org, PLoS …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0262684,3
42, Paul,Mechanics of the knee joint and certain joint replacements,10,1988, Springer, … Symposium on Total Knee Replacement  May 19–20 …,https://link.springer.com/chapter/10.1007/978-4-431-68075-8_2,0
17,"Jahn, QT Ehlen, CY Huang",Finding the Goldilocks Zone of Mechanical Loading: A Comprehensive Review of Mechanical Loading in the Prevention and Treatment of Knee Osteoarthritis,1,2024, mdpi.com, Bioengineering,https://www.mdpi.com/2306-5354/11/2/110,1
