Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
83," Tsai, CY Tang, YY Chen",Average performance of a greedy algorithm for the on-line minimum matching problem on Euclidean space,9,1994, Elsevier, Information Processing Letters,https://www.sciencedirect.com/science/article/pii/0020019094001162,0
70," Komen, SV Belitser, R Wyss…",Greedy caliper propensity score matching can yield variable estimates of the treatment‐outcome association—A simulation study,8,2021, Wiley Online Library, … and drug safety,https://onlinelibrary.wiley.com/doi/abs/10.1002/pds.5232,2
77," Mat, AM Benjamin, S Abdu",Nearest greedy for solving the waste collection vehicle routing problem: A case study,8,2017, pubs.aip.org, AIP Conference …,https://pubs.aip.org/aip/acp/article-abstract/1905/1/040018/1020850,1
89,"Turki, Z Wei",A greedy-based oversampling approach to improve the prediction of mortality in MERS patients,7,2016, ieeexplore.ieee.org, 2016 Annual IEEE Systems Conference …,https://ieeexplore.ieee.org/abstract/document/7490617/,1
96," Zhao, HJ Zhou",Two faces of greedy leaf removal procedure on graphs,6,2019, iopscience.iop.org, Journal of Statistical Mechanics: Theory and …,https://iopscience.iop.org/article/10.1088/1742-5468/ab2cca/meta,1
4, Savchenko,An optimal greedy approximate nearest neighbor method in statistical pattern recognition,5,2015, Springer, Pattern Recognition and Machine Intelligence: 6th …,https://link.springer.com/chapter/10.1007/978-3-319-19941-2_23,0
65,"Gieseke, KL Polsterer, CE Oancea, C Igel",Speedy greedy feature selection: Better redshift estimation via massive parallelism.,4,2014, esann.org, ESANN,https://www.esann.org/sites/default/files/proceedings/legacy/es2014-171.pdf,0
100," Tsai, CY Tang, YY Chen",An average case analysis of a greedy algorithm for the on-line Steiner tree problem,4,1996, Elsevier, Computers & Mathematics with Applications,https://www.sciencedirect.com/science/article/pii/0898122196000697,0
8,O'Leary,"Don't be Greedy, be Neighborly, a new assignment algorithm",3,2019, ieeexplore.ieee.org, 2019 IEEE Aerospace Conference,https://ieeexplore.ieee.org/abstract/document/8741571/,0
58, Karlsson,Greedy matching on a grid,2,1988, Springer, BIT Numerical Mathematics,https://link.springer.com/article/10.1007/BF01934691,0
44,"Chen, J Corso",Greedy multiple instance learning via codebook learning and nearest neighbor voting,2,2012, arxiv.org, arXiv preprint arXiv:1205.0610,https://arxiv.org/abs/1205.0610,0
62,"Goutham, S Stockar",Greedy Heuristics Adapted for the Multi-commodity Pickup and Delivery Traveling Salesman Problem,1,2023, arxiv.org, arXiv preprint arXiv:2303.05333,https://arxiv.org/abs/2303.05333,0
10,"Chubet, P Parikh, DR Sheehy, S Sheth",Proximity Search in the Greedy Tree,1,2023, SIAM, Symposium on Simplicity in …,https://epubs.siam.org/doi/abs/10.1137/1.9781611977585.ch29,0
54,Kim,Sparse large-margin nearest neighbor embedding via greedy dyad functional optimization,1,2019, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-019-01472-x,0
