Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
45," Banks, MK Harman, J Bellemans, WA Hodge",Making sense of knee arthroplasty kinematics: news you can use,105,2003, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2003/00004/Making_Sense_of_Knee_Arthroplasty_Kinematics__.8.aspx,5
10," Georgoulis, A Papadonikolakis…",Three-dimensional tibiofemoral kinematics of the anterior cruciate ligament-deficient and reconstructed knee during walking,538,2003, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/03635465030310012401,24
77," D'Lima, M Trice, AG Urquhart…",Tibiofemoral conformity and kinematics of rotating-bearing knee prostheses.,68,2001, journals.lww.com, … and Related Research …,https://journals.lww.com/corr/fulltext/2001/05000/Tibiofemoral_Conformity_and_Kinematics_of.31.aspx,3
29,"Mizuno, M Kumagai, SM Mattessich…",Q‐angle influences tibiofemoral and patellofemoral kinematics,447,2001, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00008-0,19
81," Kwak, CS Ahmad, TR Gardner…",Hamstrings and iliotibial band forces affect knee kinematics and contact pattern,245,2000, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100180115,10
3," Ramsey, PF Wretenberg",Biomechanics of the knee: methodological considerations in the in vivo kinematic analysis of the tibiofemoral and patellofemoral joint,203,1999, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003399000157,8
73,"H Chew, NJ Stewart, AD Hanssen…",Differences in patellar tracking and knee kinematics among three different total knee designs,168,1997, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/abstract/1997/12000/Differences_in_Patellar_Tracking_and_Knee.13.aspx,6
66," Lafortune, PR Cavanagh…",Foot inversion‐eversion and knee kinematics during walking,161,1994, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100120314,5
55," RHOADS, PC NOBLE, JD REUBEN…",The effect of femoral component position on the kinematics of total knee arthroplasty,150,1993, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/abstract/1993/01000/the_effect_of_femoral_component_position_on_the.19.aspx,5
44," Lafortune, PR Cavanagh, HJ Sommer Iii…",Three-dimensional kinematics of the human knee during walking,965,1992, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/002192909290254X,29
65,"Baier, A Benditz, F Koeck, A Keshmiri…",Different kinematics of knees with varus and valgus deformities,18,0,connect.com,,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1603340,0
