Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
13," Torzilli, X Deng, RF Warren",The effect of joint-compressive load and quadriceps muscle force on knee motion in the intact and anterior cruciate ligament-sectioned knee,288,1994, journals.sagepub.com, The American journal of …,https://journals.sagepub.com/doi/abs/10.1177/036354659402200117,9
22,"Hirokawa, M Solomonow, Y Lu…",Anterior-posterior and rotational displacement of the tibia elicited by quadriceps contraction,288,1992, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/036354659202000311,9
81," Bennell, T Egerton, TV Wrigley, PW Hodges…",Comparison of neuromuscular and quadriceps strengthening exercise in the treatment of varus malaligned knees with medial knee osteoarthritis: a …,131,2011, Springer, BMC musculoskeletal …,https://link.springer.com/article/10.1186/1471-2474-12-276,9
66," Stäubli, L Schatzmann, P Brunner, L Rincon…",Quadriceps tendon and patellar ligament: cryosectional anatomy and structural properties in young adults,222,1996, Springer, Knee surgery  sports …,https://link.springer.com/article/10.1007/BF01477262,8
99," Rowell, B Saltin, B Kiens…",Is peak quadriceps blood flow in humans even higher during exercise with hypoxemia?,329,1986, journals.physiology.org, American Journal of …,https://journals.physiology.org/doi/abs/10.1152/ajpheart.1986.251.5.h1038,8
96," Powers, JC Lilley, TQ Lee",The effects of axial and multi-plane loading of the extensor mechanism on the patellofemoral joint,208,1998, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003398000138,8
48," Bryanton, JP Carey, MD Kennedy…",Quadriceps effort during squat exercise depends on hip extensor muscle strategy,69,2015, Taylor & Francis, Sports …,https://www.tandfonline.com/doi/abs/10.1080/14763141.2015.1024716,7
95,"Li, TJ Gill, LE DeFrate, S Zayontz…",Biomechanical consequences of PCL deficiency in the knee under simulated muscle loads—an in vitro experimental study,160,2002, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00184-X,7
92," Jefferson, JJ Collins, MW Whittle…",The role of the quadriceps in controlling impulsive forces around heel strike,233,1990, journals.sagepub.com, Proceedings of the …,https://journals.sagepub.com/doi/abs/10.1243/PIME_PROC_1990_204_224_02,7
77,"Petri, A Dratzidis, S Brand, T Calliess…",Suture anchor repair yields better biomechanical properties than transosseous sutures in ruptured quadriceps tendons,73,2015, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-014-2854-3,7
